claimant_id,name,gender,age,marital_status,occupation,annual_income,credit_score,state,address,phone,bank_account_hash,policy_type,policy_tenure_years,prior_claims_count
CL000027,James Gilbert,Male,73,single,Nurse,61045.34,648,IL,"2784 Elizabeth Plaza Suite 124, North Juliaberg, KY 37431",883-420-6799x81364,GB11IFHY61032664214764,liability_only,2.4,0
CL000028,Matthew Patton,Male,54,married,Consultant,107657.09,585,MI,"49542 Ford Mill, South Benjaminstad, NJ 84091",+1-736-309-1498,GB20OFIY44723229031028,full_coverage,4.0,0
CL000029,Lauren Williams,Male,43,single,Retail Worker,102704.34,747,OH,"440 Fernandez Cape, West Daniel, NY 58672",381-833-5956,GB82JEAK95565749025042,full_coverage,0.9,1
CL000030,Allison Lynch,Male,69,single,Retail Worker,56698.16,695,CA,"69026 Stephanie Fork Suite 818, New Thomashaven, NC 58306",943-894-3535x37513,GB60LCLR81579376392836,full_coverage,5.9,1
CL000031,Mary Jacobs,Male,76,single,Construction Worker,136148.4,765,NC,"1166 Barbara Roads Apt. 270, North Robert, WV 73190",001-871-820-6021x288,GB76LEMW83415599910157,full_coverage,0.1,0
CL000032,Lynn Yang,Female,36,single,Software Engineer,40459.2,655,GA,"229 Edwin Avenue Suite 765, Thompsonshire, KY 13201",847.650.9889,GB31KMKY22036849951542,comprehensive,9.9,0
CL000033,Donald Gonzales,Female,56,married,Business Owner,39205.47,651,CA,"9134 Cody Plaza Apt. 090, North Tracy, GU 03879",(934)896-7827x411,GB93PICE41513152854781,comprehensive,9.1,1
CL000034,Emily Middleton,Male,77,single,Retired,24659.89,680,GA,"80032 Wiggins Forges Apt. 472, Cervantesfort, LA 17775",518.430.6178,GB03BNWI96935782434776,liability_only,19.6,1
CL000035,Kimberly Phillips,Female,49,married,Chef,28231.05,761,PA,"7536 Gregory Island Apt. 562, Larsenfort, PA 54503",250-339-4409,GB03DSZA21287809280414,comprehensive,1.5,1
CL000036,Lisa Rivera,Female,41,married,Business Owner,91906.92,671,GA,"061 Barr Trafficway, Lake Brandonborough, MN 70686",828.563.4255,GB56RXHA00818670244033,liability_only,6.7,2
CL000037,Paul Hess,Other,79,married,Business Owner,63298.37,590,CA,"41118 Smith Summit Apt. 196, Port Catherine, ME 42932",(380)544-7314x97646,GB10NRIP48836076581739,full_coverage,4.1,0
CL000038,Jennifer Hall,Male,58,married,Student,29826.76,671,FL,"26064 Mitchell Square Suite 234, North Beth, ND 08490",001-755-466-1390x60480,GB93DSYA83342801387592,comprehensive,1.6,1
CL000039,Justin Day,Female,81,divorced,Chef,37585.66,685,TX,"327 Lauren Bypass Suite 054, North Matthewfurt, GA 96443",+1-881-625-2056,GB29ONCZ74224386490810,full_coverage,1.6,0
CL000040,Robert Daugherty,Female,63,married,Consultant,67923.93,686,NC,"15921 Joshua Roads Suite 698, Shawnchester, CT 92484",(738)804-6827,GB87XTIV16800610277697,liability_only,2.3,1
CL000041,Christopher Hancock,Female,38,married,Administrative Assistant,227614.66,729,GA,"26978 Brian Park, Robertmouth, MP 20242",9599960438,GB27KUHK77881161620281,full_coverage,2.4,0
CL000042,Jeffrey Stanton,Female,78,married,Consultant,233320.26,721,TX,"2872 Ross Hill Apt. 644, Christinastad, OK 85726",(624)983-9589,GB69OGKX22870562271043,liability_only,5.1,0
CL000043,Brandon Ellis,Female,61,divorced,Software Engineer,51868.5,732,NY,"215 Michael Bridge Apt. 446, Michaelfurt, KS 74047",+1-631-392-1342,GB29EZQS65999497320331,full_coverage,0.1,1
CL000044,Lisa Thomas,Male,70,married,Warehouse Worker,68624.0,686,NC,"1028 Coleman Mountains, Kevinville, IA 73920",(666)475-4858x1932,GB59NROP41865205756398,liability_only,0.3,0
CL000045,Tammie Lee,Female,49,married,Truck Driver,46394.71,741,PA,"75830 Murphy Land, Wesleytown, PA 36287",2479604409,GB90ITKC92798990816686,liability_only,0.7,0
CL000046,Mark Brown,Male,48,single,Warehouse Worker,32674.11,777,NY,"90552 Black Shores Suite 601, Port Kathleen, FL 96046",612-670-4938x620,GB28RLDK79197111212590,full_coverage,1.0,0
CL000047,Rachel Robinson,Male,43,single,Retired,89717.57,767,PA,"343 Lance Light, Gregoryberg, OK 41859",(733)743-2447x41759,GB51YUQO20962893654358,comprehensive,4.2,0
CL000048,Natalie Adams,Female,46,married,Manager,41553.07,549,CA,"3740 Zachary Roads, South Donald, OR 42836",(796)790-5150x267,GB11UDFL42782079799667,liability_only,1.0,0
CL000049,Dawn Brooks,Male,77,single,Freelancer,75035.91,850,NC,"0381 Simmons Grove Suite 902, West Olivia, UT 69193",792.925.0142,GB30MFOA23244123361328,full_coverage,5.6,0
CL000050,Jacqueline Woods,Female,81,divorced,Truck Driver,43924.43,666,NC,"637 Guerra Squares Apt. 162, Kathrynberg, MO 43376",569-768-1579x0392,GB72LKQA99613273034615,liability_only,7.6,0
CL000051,Christopher Hernandez,Male,51,married,Nurse,62988.64,617,PA,"46226 Steven Corner Suite 160, West David, NY 50831",+1-770-976-6046x41978,GB13WKRL12686120594389,full_coverage,0.1,0
CL000052,Jordan Williams,Other,80,single,Mechanic,47184.35,721,NY,"7509 King Junction, Katietown, ND 35528",(345)760-7540,GB54XBRX63218122764579,full_coverage,0.1,0
CL000053,Roger Conley,Female,60,married,Police Officer,59894.4,599,MI,"15502 Patrick Stream Apt. 546, Johnsonview, VA 86077",001-716-913-9449x8830,GB82GYNI24809624406306,full_coverage,5.1,0
CL000054,Denise Ford,Female,22,single,Accountant,106233.8,680,OH,"038 Thomas Fields Suite 728, Mathisport, WI 50551",255-357-2773x82646,GB62UPRL13854457702992,liability_only,0.8,0
CL000055,Krystal Perry,Female,52,divorced,Sales Representative,114681.73,756,PA,"736 Nicholas Vista Apt. 163, North Ashley, HI 21356",001-868-565-3694x55158,GB18MPYO47226408572169,liability_only,13.0,0
CL000056,Valerie Jenkins,Female,47,single,Retired,54973.2,642,NY,"784 Danielle Inlet, Lake Stevenmouth, KY 86156",393-436-7306,GB32VSVE42806589175260,liability_only,2.0,1
CL000057,Valerie Porter,Female,43,divorced,Sales Representative,39430.26,799,NY,"92711 Graves Fords, South James, GA 64684",783-557-6891,GB70WEFH40140822815775,liability_only,0.7,0
CL000058,Katherine Sanchez,Female,51,divorced,Manager,49440.28,662,IL,"757 Carroll Ranch Apt. 228, Anthonystad, OK 48043",001-644-829-4774x222,GB31IUHA39429045886792,full_coverage,0.7,1
CL000059,Maria Matthews,Other,78,married,Teacher,70041.73,806,TX,"7287 Timothy Light Apt. 153, Jamieberg, KY 80276",001-313-757-7908x33506,GB85QCIR88107983342337,comprehensive,3.3,0
CL000060,William Baker,Male,29,widowed,Nurse,32093.59,690,TX,"128 Brown Forks, New Kathleen, NJ 61353",380-951-3717,GB09GDRS39749096173997,full_coverage,0.4,0
CL000061,Darlene Russell MD,Male,45,married,Student,72410.6,741,TX,"784 Baker Place Apt. 548, Connieville, WV 24379",705.487.7221x6417,GB11GYDY33484587149392,full_coverage,2.2,0
CL000062,Corey Foster,Female,65,married,Teacher,44071.64,758,NC,"258 Valdez Turnpike, Chanview, IN 34953",845.224.5557x4696,GB69YMBN52740334450566,comprehensive,2.2,0
CL000063,Justin Gonzalez,Male,75,married,Construction Worker,125458.73,796,IL,"1132 Sharp Stravenue Suite 067, West Valerie, OR 49655",3109548574,GB17EXCK62294938173598,full_coverage,0.2,0
CL000064,Debbie Schmidt,Male,75,married,Retail Worker,58052.62,736,PA,"15573 Manuel Forks, Coxborough, TX 92783",249-702-1666x708,GB81ASNB85874951191818,full_coverage,2.7,1
CL000065,Jose York,Female,33,married,Business Owner,52416.12,683,FL,"316 Owens Streets Apt. 512, Shawnchester, FM 03316",(594)709-6003x5624,GB66ROUV39592323421089,liability_only,3.1,1
CL000066,Amanda Anderson,Female,67,married,Accountant,34578.84,689,MI,"5333 Martin Groves, East Kelsey, AK 18498",516.807.3607x763,GB10SDCF89812317955633,full_coverage,5.8,1
CL000067,Dr. Heather Scott,Male,18,single,Construction Worker,66748.98,635,OH,"06661 Ward Inlet Apt. 643, Lake Dawnfurt, FM 62283",4454023290,GB09EWPY00934596262282,comprehensive,0.3,0
CL000068,Rita White,Female,43,married,Construction Worker,33048.2,769,NC,"07346 Stout Greens, Anthonytown, MA 04236",702.560.8698x2210,GB34CNCD77687290477425,full_coverage,1.1,0
CL000069,Holly Austin,Male,75,single,Software Engineer,93358.65,797,PA,"9323 Linda Divide Apt. 116, Oliviaville, IA 30152",824-757-9889x425,GB77VESX06032020326509,full_coverage,7.3,1
CL000070,Dr. Cody Kane,Female,74,divorced,Sales Representative,19145.4,774,PA,"Unit 6737 Box 9487, DPO AE 98144",685-352-4578x715,GB21ZLNU08213711842547,liability_only,2.9,0
CL000071,William Miller,Female,52,single,Retired,23726.85,579,MI,"8323 James Summit, Aliciaberg, OK 70042",408.858.3825x21293,GB42GIBM46867752401484,comprehensive,5.2,0
CL000072,Nicholas Wheeler,Female,79,married,Construction Worker,26934.57,699,OH,"80981 Sanchez Meadows Suite 203, Brookeville, MT 40768",419-678-2199,GB06XMSM74930919249034,liability_only,4.0,1
CL000073,Paul Taylor,Male,47,divorced,Retail Worker,58353.32,749,OH,"62669 John Keys, East Tabithaview, DC 53118",392-637-2450,GB51QDYU97374189721540,liability_only,6.1,0
CL000074,Steven Rodriguez,Male,76,married,Business Owner,70560.04,673,NY,"743 Christopher Street, Johnfort, MP 92460",(360)914-4485x64510,GB73HSPH96417899698609,comprehensive,4.0,0
CL000075,Ryan Day,Female,75,married,Student,38525.97,832,NC,"35996 Higgins Canyon, Deborahmouth, PR 60891",001-280-766-0392,GB64DJNZ07455534705742,full_coverage,1.2,0
CL000076,Randy Kelley,Male,76,married,Student,48869.26,696,OH,"2715 Jensen Streets Apt. 541, Lake Richardfort, SC 24905",001-563-647-5575x22501,GB79QWUR48826913119642,comprehensive,9.4,2
CL000077,Kim Sanders,Male,52,married,Retired,49694.62,738,GA,"33230 Villanueva Cliffs, West David, MS 75175",+1-924-507-3333,GB88UJNM53335038363358,liability_only,0.4,0
CL000078,Stacy Werner,Male,27,married,Student,60671.82,686,GA,"6553 Fernandez Club Apt. 538, North Tina, WY 67013",001-278-951-9358x374,GB77TOPS61208780572151,full_coverage,6.4,0
CL000079,Desiree King,Female,57,single,Manager,45829.31,694,IL,"107 James Rapid Apt. 869, Villaland, MI 16652",001-245-739-8628x950,GB03DSZA21287809280414,full_coverage,0.3,1
CL000080,Tracy Berry,Female,18,single,Truck Driver,49489.41,712,NY,"USCGC Ballard, FPO AA 91781",625.821.4526x4712,GB68GHLU15718409080512,liability_only,8.3,0
CL000081,William Smith,Male,53,married,Construction Worker,40496.72,659,OH,"99512 Dana Parks Apt. 835, Port Feliciaberg, PA 49543",001-227-328-2709,GB64ZJJD52982173929578,full_coverage,5.3,0
CL000082,Rachel Raymond,Male,44,single,Consultant,39039.85,587,OH,"3523 Lopez Lodge, West Brianfort, AS 86963",001-591-681-5899x886,GB69KEOY34666617071587,full_coverage,2.0,0
CL000083,Elizabeth Gay,Female,67,married,Police Officer,41234.35,672,NC,"031 Mcclain Summit, Lake Lee, AR 70531",4047635806,GB87VWBG17235137399006,full_coverage,0.4,0
CL000084,Michael Glass,Male,58,single,Sales Representative,88281.32,772,PA,"526 Nathan Villages, Williamsberg, PA 32767",+1-646-594-3460x666,GB16YPIT06072311127128,full_coverage,0.9,0
CL000085,Tony Scott,Female,77,married,Chef,81901.31,655,FL,"29667 Patrick Meadow Apt. 532, Joshuaberg, AZ 80993",318-363-8782x94565,GB15OLQT55168740903802,liability_only,0.9,1
CL000086,Tara Sanders,Female,49,married,Consultant,22467.49,716,CA,"411 Carson Flats Apt. 873, New Wendy, NJ 63260",813-706-2113,GB85OXEO90833509025425,liability_only,0.2,2
CL000087,Steven Brown,Male,36,single,Manager,58715.17,717,OH,"132 Matthew Stravenue Suite 071, New Allison, OH 21616",(285)401-1688,GB63XKLB21306090691309,full_coverage,3.5,1
CL000088,Alicia Holloway,Female,70,divorced,Manager,37033.57,789,OH,"9673 Salazar Key Suite 727, Jeffreyport, SC 96311",(264)925-0642,GB80NWRH62536667776755,liability_only,4.7,2
CL000089,James Cummings,Female,55,married,Mechanic,173355.51,648,NY,"393 Mccullough Plaza, Brooksport, IL 51989",(571)587-4960,GB26KRFV68627036924926,full_coverage,1.1,0
CL000090,Rebecca Hernandez,Male,43,married,Sales Representative,29494.91,630,NY,"275 Erica Turnpike, North Andrewton, MA 12290",453-623-4159x59775,GB81JDZR22261896288743,comprehensive,1.1,0
CL000091,Mary Thomas,Female,53,married,Retail Worker,22288.92,698,MI,"67672 Brenda Viaduct, Sarahshire, OK 24334",607.895.5151x229,GB83EDZV35415970996254,comprehensive,5.9,1
CL000092,Douglas Meyer,Female,63,married,Warehouse Worker,134664.36,569,MI,"PSC 7520, Box 3447, APO AA 44740",2472158029,GB82JMGP66046558665254,comprehensive,8.8,0
CL000093,Katherine Adams,Male,47,single,Administrative Assistant,55904.08,658,TX,"PSC 1581, Box 0213, APO AE 23714",(412)993-1100x591,GB44UKZV19102312110633,full_coverage,5.8,1
CL000094,Bobby Flores,Male,38,divorced,Chef,42629.65,783,OH,"79274 Scott Parkways Apt. 123, Douglasside, OK 25318",001-811-632-5326x949,GB25GNIL38044210175096,comprehensive,6.2,0
CL000095,Phillip Moran,Male,50,divorced,Sales Representative,17018.67,602,TX,"9591 Acosta Island, Howardfort, MN 65997",775-883-3920x5677,GB43OOOE26602562650622,full_coverage,1.1,0
CL000096,Catherine Davis,Male,23,divorced,Consultant,68832.19,826,CA,"5307 Moore Village, Jeremyfort, PA 95361",466.527.0511x5794,GB02QPZG67042549691928,full_coverage,4.9,1
CL000097,Nathaniel Roman,Female,70,married,Electrician,49597.04,557,CA,"710 Wood Gateway Apt. 535, Buchananside, MA 76158",732-359-3993x37970,GB96MYET51877941763425,comprehensive,0.5,1
CL000098,Amy Wright,Female,79,widowed,Freelancer,68608.57,719,FL,"9782 Frye Oval Suite 983, New Cassie, LA 96631",6386843660,GB58GEJA06157276829751,full_coverage,0.2,0
CL000099,Joy Gonzalez,Other,56,single,Business Owner,65471.17,835,GA,"92501 Mindy Plaza Suite 525, Piercechester, SD 42953",(925)390-4599x0802,GB76CEED82315551651768,full_coverage,5.2,0
CL000100,Jason Clarke,Male,29,single,Sales Representative,43764.09,850,TX,"72143 Brian Springs, North Dawnbury, NJ 06057",8332228556,GB49QYJP06810390339705,liability_only,1.9,1
CL000101,Lauren Richardson,Male,28,married,Chef,46694.1,651,IL,"PSC 2632, Box 8094, APO AA 73411",(386)623-9453x546,GB47OAOT86321061339439,liability_only,0.1,0
CL000102,Heather Brown,Female,51,single,Manager,87542.05,841,IL,"80403 Michelle Ford Suite 657, Guzmanburgh, PW 64946",689.243.1910x0900,GB43JOMX92105336514604,liability_only,0.3,1
CL000103,Stephanie Turner,Male,50,married,Student,45471.5,776,NY,"07201 Jenny Motorway, Josephshire, NJ 08795",001-223-216-6007x6762,GB81VCYI47340433700968,liability_only,3.4,2
CL000104,Katherine Hall,Male,73,married,Retired,73025.71,727,GA,"5195 Hoover Plains, West Donna, MN 95685",+1-782-955-6296,GB89LYJE78656194255778,full_coverage,0.2,0
CL000105,Carly Williams,Female,23,married,Sales Representative,20629.5,663,PA,"2655 Christopher Inlet, Wardview, CT 17868",(577)522-3306x0463,GB24KMIC11824224124620,full_coverage,3.5,0
CL000106,Shannon Weber,Female,68,married,Electrician,19550.52,822,IL,"236 Madeline Creek, New Daletown, KS 72649",+1-723-857-1558x68639,GB79WYDH72308172143643,full_coverage,3.1,0
CL000107,Anne Olsen,Female,33,single,Construction Worker,33442.15,710,IL,"1321 Jon Crest, Duffyfurt, AL 91965",+1-245-965-3469x979,GB16BPKL04768169957060,liability_only,1.5,1
CL000108,Olivia Miller,Male,46,single,Construction Worker,60247.86,707,GA,"31765 Cassandra Mountains, West Kylemouth, IL 80942",(810)229-0871x82749,GB47ISDW87274204956121,liability_only,0.9,1
CL000109,John Smith,Male,59,married,Retail Worker,54977.71,601,NY,"0423 Glenn Prairie, Perezmouth, AS 92353",912-722-9907,GB02ZWNA85816704686111,liability_only,0.8,0
CL000110,Travis Howard,Female,31,married,Truck Driver,31538.16,586,PA,"10219 Elizabeth Mission, Angelafort, CA 86518",(696)418-0332,GB35XWMA50801849804253,liability_only,0.3,0
CL000111,Rebecca Lopez,Female,39,divorced,Retired,88776.34,641,TX,"5226 Banks Extensions Suite 392, Parkerport, DC 23793",(541)540-6029,GB12UXHQ90309143639102,liability_only,4.8,0
CL000112,John Garcia,Female,32,widowed,Manager,86512.47,692,GA,"28217 Ashlee Gateway, Francostad, IN 34903",(906)805-6035x67932,GB05UYUF39847169061812,liability_only,0.9,1
CL000113,Amanda Ramirez,Male,19,married,Nurse,88778.46,613,FL,"5564 King Common, Smithside, AR 46371",(971)628-6391,GB33HCVI95013649718924,comprehensive,7.9,0
CL000114,Matthew Hatfield,Female,64,married,Police Officer,32315.88,549,MI,"44474 Caroline Mountain Suite 252, New Ericaburgh, NJ 80936",+1-883-655-3935x435,GB56ITNV39243588537982,full_coverage,0.4,1
CL000115,Nathan Carter,Male,56,married,Freelancer,34117.54,624,PA,"75367 Randolph Mount Suite 249, West Davidfurt, GU 72680",(501)634-7789x4896,GB90BNUP91766512215001,comprehensive,1.4,0
CL000116,Joshua Adams,Female,34,married,Warehouse Worker,48693.77,519,TX,"09001 Davila Stravenue Suite 463, East Christine, OK 99031",585-232-0895x326,GB91FCSX94711363379223,comprehensive,1.5,0
CL000117,Aaron Lambert,Female,35,married,Accountant,60287.64,615,NY,"3311 Marquez Mills Apt. 696, New Kathyborough, FM 88753",768.455.0789x6793,GB14WCTW62633556434369,liability_only,3.1,1
CL000118,Toni Parks,Female,36,married,Warehouse Worker,27082.96,587,GA,"640 Robinson Mills Apt. 515, Bruceview, ID 16512",+1-974-746-6609x9353,GB42BUTO59230450189616,liability_only,8.0,0
CL000119,Maria Brown,Male,76,single,Sales Representative,28822.58,714,PA,"9556 Travis Stream, Blankenshipland, NE 33914",(534)254-7223x989,GB97MLBY31219804184724,comprehensive,0.4,0
CL000120,Jeffrey Pitts,Male,72,divorced,Police Officer,105092.77,688,TX,"2813 Christine Ports Apt. 487, Jacobsonbury, AK 26110",+1-411-414-2817x852,GB63HZAK24808806220722,full_coverage,0.3,1
CL000121,Lee Richardson,Male,26,divorced,Software Engineer,59424.34,618,CA,"72132 Carlos Lane Apt. 047, Byrdfurt, OH 71472",001-968-478-5996x4862,GB26ZBGC95419666450573,liability_only,1.8,1
CL000122,Cindy Hampton,Male,19,married,Administrative Assistant,86417.06,697,GA,"246 Douglas Forks Suite 476, Marquezstad, FM 27330",826.803.2145x057,GB65CTJL88707155348201,liability_only,0.0,1
CL000123,Michael Nelson,Male,55,divorced,Student,75535.39,699,NC,"850 Powell Union, Reedmouth, LA 48731",3894177680,GB81MKVW74223196463004,full_coverage,2.8,0
CL000124,Casey Barnes,Female,68,married,Electrician,46760.87,714,MI,"8943 Vickie Estates, West Jessicaland, IN 61882",(671)717-5957,GB51UVKQ29849330674584,liability_only,12.0,1
CL000125,Dr. Jared Crane MD,Other,37,divorced,Consultant,46114.77,654,MI,"83337 Sara Square, Robertfurt, MT 74762",841-932-9715x06662,GB06AKLD43776936634392,comprehensive,3.3,0
CL000126,Kyle Watkins,Male,54,single,Nurse,84993.02,687,FL,"10286 Mosley Underpass, North Aaron, HI 04785",(745)359-1024,GB18BSCB90326714949819,full_coverage,1.4,0
CL000127,Austin Obrien,Male,23,single,Consultant,37721.73,646,OH,"9340 Phelps Shores, Lake Thomas, NV 47523",344.266.3453x37220,GB48SDED72214559376618,full_coverage,0.2,1
CL000128,Elizabeth Fletcher,Female,19,single,Electrician,191594.69,668,IL,"PSC 0526, Box 3510, APO AE 33554",(227)476-5725x6592,GB54INCP52023897432600,full_coverage,5.5,0
CL000129,Michelle Mcbride,Female,22,married,Administrative Assistant,69826.66,637,OH,"78332 Becker Walks, Alyssahaven, OR 80777",+1-736-207-9848x704,GB63NSUZ17679935937440,comprehensive,9.8,0
CL000130,Mary Riley,Female,52,single,Electrician,63573.64,707,TX,"303 Allen Alley, Williamsland, AS 36366",+1-586-608-4907,GB04YDHM85283061537012,comprehensive,0.2,1
CL000131,Monique Jackson,Male,54,widowed,Business Owner,45451.23,644,GA,"2632 Davis Heights Suite 881, East Morgantown, IA 09149",001-642-317-5188x78179,GB85LZCL26384091122528,full_coverage,0.6,1
CL000132,Kimberly Mendoza,Female,43,married,Freelancer,50573.15,723,CA,"44474 Caroline Mountain Suite 252, New Ericaburgh, NJ 80936",897.791.3787,GB23POVR71667417132231,liability_only,3.1,1
CL000133,Brendan Meyer,Male,57,married,Retired,41356.79,508,TX,"7885 Colleen Bypass, Johnside, GU 56290",111-556-7927,GB22AHJM07791570814843,liability_only,1.3,1
CL000134,Dennis Cook,Male,42,married,Administrative Assistant,31664.38,552,NC,"391 Brandon Inlet, Port Jennifershire, VI 91003",+1-348-741-6046,GB40IXBE11901707568142,liability_only,2.7,0
CL000135,Kristina Bauer,Female,57,divorced,Retail Worker,37264.27,696,GA,"46001 Matthew Flat Apt. 306, Simmonston, WV 73361",807-416-7491,GB19QJLE69694439164970,comprehensive,9.8,0
CL000136,Jennifer Lee,Female,25,divorced,Administrative Assistant,37319.04,713,NC,"291 David Canyon, East Julie, VA 09964",+1-562-934-1903x10615,GB86EEXU15566847323653,full_coverage,7.4,0
CL000137,Shannon Bates,Male,47,married,Freelancer,63521.35,699,NC,"0406 Moore Tunnel Apt. 784, South Daniel, LA 18942",942-560-7819x7543,GB98WIPM42737203763882,liability_only,0.6,0
CL000138,Nathan Boyd,Male,54,married,Truck Driver,45241.44,705,TX,"846 Bryan Coves Apt. 443, Lake Tyler, NC 00942",(505)486-9507,GB68DXJX64493699951679,liability_only,0.8,1
CL000139,David Williams,Female,27,divorced,Student,97437.68,651,PA,"85736 Hannah Cove Apt. 360, South Robert, WA 10017",287-623-3351,GB13ASND49731539114983,comprehensive,0.4,1
CL000140,Michael Weaver,Female,73,married,Retired,283628.16,750,FL,"3651 William Forks, Aaronstad, MI 99241",282.401.9043x223,GB06XMSM74930919249034,full_coverage,2.3,0
CL000141,Sandra Moore,Female,62,married,Chef,89590.2,789,GA,"0826 Christopher Estate, North Eric, CT 57467",924.488.8995,GB37TRVS37629745493036,comprehensive,4.1,0
